	[run number]	density	probability-of-spread	slow-to-burn-ratio	percentage burned
	984	60	80	40	99.34994295417760
	985	60	80	40	99.49448408414740
	986	60	80	40	99.35553451178450
	987	60	80	40	99.27805443574950
	988	60	80	40	99.43941467522900
	989	60	80	40	99.35707482273260
	990	60	80	40	99.41209184078810
85					99.54769000817850
	1041	60	85	40	99.63824562330020
	1042	60	85	40	99.47829327370970
	1043	60	85	40	99.63774822179330
	1044	60	85	40	99.54460501724180
	1045	60	85	40	99.47865668086910
	1046	60	85	40	99.54652735421250
	1047	60	85	40	99.53402171035210
	1048	60	85	40	99.54460006883950
	1049	60	85	40	99.59819186338520
	1050	60	85	40	99.47601026808160
90					99.68207011539260
	1101	60	90	40	99.65034965034960
	1102	60	90	40	99.70197278193900
	1103	60	90	40	99.61938729339120
	1104	60	90	40	99.60915689558910
	1105	60	90	40	99.75124378109450
	1106	60	90	40	99.70157925315590
	1107	60	90	40	99.69094222997070
	1108	60	90	40	99.70015390330630
	1109	60	90	40	99.65320979483790
	1110	60	90	40	99.74270557029180
95					99.7750085236747
	1161	60	95	40	99.7884605214448
	1162	60	95	40	99.77273327871890
	1163	60	95	40	99.79137507592360
	1164	60	95	40	99.71500197915290
	1165	60	95	40	99.75428027901080
	1166	60	95	40	99.79707471340100
	1167	60	95	40	99.76025572722430
	1168	60	95	40	99.7491020494401
	1169	60	95	40	99.8076061460612
	1170	60	95	40	99.81419546636940
100					99.79779371088520
	1221	60	100	40	99.80191743918870
	1222	60	100	40	99.83897365503410
	1223	60	100	40	99.78042328042330
	1224	60	100	40	99.74839102682950
	1225	60	100	40	99.83304181904910
	1226	60	100	40	99.80785934251050
	1227	60	100	40	99.75923378135250
	1228	60	100	40	99.79072293305780
	1229	60	100	40	99.87571727001080
	1230	60	100	40	99.74165656139610
60					
probability-of-spread:					Average:
0					0.151700395677461
	31	60	0	60	0.15414053364515800
	32	60	0	60	0.15598149372108400
	33	60	0	60	0.13689614321442700
	34	60	0	60	0.15844930942509300
	35	60	0	60	0.1639084227779830
	36	60	0	60	0.17149038334696500
	37	60	0	60	0.14311839071320700
	38	60	0	60	0.15573445954863400
	39	60	0	60	0.12164484992727800
	40	60	0	60	0.15563997045478500
5					0.189731829481335
	91	60	5	60	0.18315504472699300
	92	60	5	60	0.17223105458399600
	93	60	5	60	0.17660393273235300
	94	60	5	60	0.1741195092995650
	95	60	5	60	0.18834390004509600
	96	60	5	60	0.2043144851009630
	97	60	5	60	0.23113094763688500
	98	60	5	60	0.17729558084149200
	99	60	5	60	0.20684717176270900
	100	60	5	60	0.18327666808329800
10					0.240703939947936
	151	60	10	60	0.253766851704996
	152	60	10	60	0.27283322737868200
	153	60	10	60	0.28182494948420700
	154	60	10	60	0.28714436248682800
	155	60	10	60	0.2571239231278990
	156	60	10	60	0.18578973909812400
	157	60	10	60	0.21685663660645800
	158	60	10	60	0.18304329371816600
	159	60	10	60	0.2253924480271530
	160	60	10	60	0.24326396784684900
15					0.316522729806781
	211	60	15	60	0.28931652289316500
	212	60	15	60	0.30302231825248300
	213	60	15	60	0.34056708379534300
	214	60	15	60	0.4779761276011410
	215	60	15	60	0.2691790040376850
	216	60	15	60	0.31478150460268800
	217	60	15	60	0.31240899102486000
	218	60	15	60	0.3405491024287220
	219	60	15	60	0.24594065689956100
	220	60	15	60	0.27148598653216600
20					0.627069074218571
	271	60	20	60	0.49949785929488900
	272	60	20	60	0.5089528229740780
	273	60	20	60	0.4848452734209410
	274	60	20	60	0.9822819571703940
	275	60	20	60	0.8028310357576720
	276	60	20	60	0.583837476554038
	277	60	20	60	0.8849324448892520
	278	60	20	60	0.5943536404160480
	279	60	20	60	0.27944743224717900
	280	60	20	60	0.6497107994612160
25					1.03832208834612
	331	60	25	60	1.2019485333050900
	332	60	25	60	1.1774355717838800
	333	60	25	60	1.310821590002660
	334	60	25	60	0.6574238528218860
	335	60	25	60	1.2300382737231100
	336	60	25	60	1.1159183242758400
	337	60	25	60	0.6715845694191060
	338	60	25	60	0.9142705710878490
	339	60	25	60	0.9607263513513510
	340	60	25	60	1.1430532456904500
30					1.6607286522467300
	391	60	30	60	2.4916020842701100
	392	60	30	60	1.2583982083822100
	393	60	30	60	1.2931262918013700
	394	60	30	60	2.9712138850672000
	395	60	30	60	1.2704126194320200
	396	60	30	60	1.4950342556694500
	397	60	30	60	1.7510086759315400
	398	60	30	60	1.1982252450915300
	399	60	30	60	1.2818479754730900
	400	60	30	60	1.5964172813487900
35					6.20414716135562
	451	60	35	60	2.424371311606150
	452	60	35	60	2.8049748610743600
	453	60	35	60	12.560284622479900
	454	60	35	60	3.038344168767410
	455	60	35	60	2.797147385103010
	456	60	35	60	9.354753752962870
	457	60	35	60	4.184788373819880
	458	60	35	60	5.601222468120980
	459	60	35	60	6.725030890974580
	460	60	35	60	12.550553778647100
40					47.7117142036714
	511	60	40	60	54.2713567839196
	512	60	40	60	59.93386243386240
	513	60	40	60	74.90171244623870
	514	60	40	60	26.464678510998300
	515	60	40	60	27.207283506246000
	516	60	40	60	27.56991986414050
	517	60	40	60	47.02316632844000
	518	60	40	60	51.98032890910050
	519	60	40	60	65.70031712473570
	520	60	40	60	42.064516129032300
45					88.0883229649565
	571	60	45	60	87.95630092053750
	572	60	45	60	88.79401781926180
	573	60	45	60	88.5144592631718
	574	60	45	60	88.1466029415648
	575	60	45	60	88.5652529193136
	576	60	45	60	87.171972825363
	577	60	45	60	89.38892391761240
	578	60	45	60	86.46165285744640
	579	60	45	60	88.8812881498632
	580	60	45	60	87.00275803543020
50					93.9397390586029
	631	60	50	60	93.90057058326290
	632	60	50	60	93.98645430975190
	633	60	50	60	94.51935967195020
	634	60	50	60	94.22696196182980
	635	60	50	60	93.70195621057100
	636	60	50	60	93.89555679198790
	637	60	50	60	93.83389372799240
	638	60	50	60	93.82598583359760
	639	60	50	60	94.4681411269089
	640	60	50	60	93.03851036817610
55					96.1939025879889
	691	60	55	60	95.86133333333330
	692	60	55	60	96.18116287698100
	693	60	55	60	95.89922130385100
	694	60	55	60	96.03915861886490
	695	60	55	60	95.8988943227727
	696	60	55	60	96.65175617373810
	697	60	55	60	96.0377756674053
	698	60	55	60	96.58029447464250
	699	60	55	60	96.44809464705420
	700	60	55	60	96.34133446124560
60					97.8037950049638
	751	60	60	60	97.90571768123600
	752	60	60	60	97.6932833060297
	753	60	60	60	97.95599978846050
	754	60	60	60	98.26047816992770
	755	60	60	60	97.85727496102940
	756	60	60	60	97.66888677450050
	757	60	60	60	97.46338357036720
	758	60	60	60	97.63085690164630
	759	60	60	60	97.78310839308310
	760	60	60	60	97.81896050335750
65					98.4810649495479
	811	60	65	60	98.43530751105350
	812	60	65	60	98.41341314827570
	813	60	65	60	98.34325790657670
	814	60	65	60	98.3477201715829
	815	60	65	60	98.27078636785570
	816	60	65	60	98.70105868997020
	817	60	65	60	98.51730254971010
	818	60	65	60	98.43894940499850
	819	60	65	60	98.83153030143890
	820	60	65	60	98.51132344401630
70					98.962283997596
	871	60	70	60	98.9496242988676
	872	60	70	60	98.80757231241080
	873	60	70	60	98.98555343106010
	874	60	70	60	98.88456137561930
	875	60	70	60	98.96768045739700
	876	60	70	60	99.16312468650180
	877	60	70	60	98.96992281075330
	878	60	70	60	98.9835251874538
	879	60	70	60	99.05466068127810
	880	60	70	60	98.85661473461840
75					99.2761397109274
	931	60	75	60	99.20386391380500
	932	60	75	60	99.28686087208230
	933	60	75	60	99.23154114291750
	934	60	75	60	99.22156322812960
	935	60	75	60	99.1943365824022
	936	60	75	60	99.28745496927310
	937	60	75	60	99.36110671101960
	938	60	75	60	99.25972927241960
	939	60	75	60	99.43310657596370
	940	60	75	60	99.28183384126140
80					99.4581889722889
	991	60	80	60	99.41280093951850
	992	60	80	60	99.36482731242560
	993	60	80	60	99.41834451901570
	994	60	80	60	99.57626003421500
	995	60	80	60	99.53866026942240
	996	60	80	60	99.45121629465460
	997	60	80	60	99.5238725036371
	998	60	80	60	99.38871100055570
	999	60	80	60	99.5023558684949
	1000	60	80	60	99.40484098094960
85					99.6072398692263
	1051	60	85	60	99.6113373169055
	1052	60	85	60	99.62375135793960
	1053	60	85	60	99.59854207384710
	1054	60	85	60	99.6499323732994
	1055	60	85	60	99.57292164040530
	1056	60	85	60	99.6056488142819
	1057	60	85	60	99.66199265890310
	1058	60	85	60	99.5929335390837
	1059	60	85	60	99.66585339980910
	1060	60	85	60	99.48948551778870
90					99.7078364143021
	1111	60	90	60	99.6998751693182
	1112	60	90	60	99.581589958159
	1113	60	90	60	99.67028291852800
	1114	60	90	60	99.75424781333410
	1115	60	90	60	99.67532467532470
	1116	60	90	60	99.75313229985130
	1117	60	90	60	99.73465741908370
	1118	60	90	60	99.71154100616610
	1119	60	90	60	99.77570192104710
	1120	60	90	60	99.72201096220920
95					99.7727659611959
	1171	60	95	60	99.7712218350137
	1172	60	95	60	99.80036732412360
	1173	60	95	60	99.8077176346635
	1174	60	95	60	99.65199373057410
	1175	60	95	60	99.78313189283540
	1176	60	95	60	99.83114347527840
	1177	60	95	60	99.75084817642070
	1178	60	95	60	99.80422244563200
	1179	60	95	60	99.70954795099280
	1180	60	95	60	99.8174651464247
100					99.8226622060462
	1231	60	100	60	99.84414212125220
	1232	60	100	60	99.85985509545720
	1233	60	100	60	99.90272373540860
	1234	60	100	60	99.7960372960373
	1235	60	100	60	99.79139160285190
	1236	60	100	60	99.86267726516490
	1237	60	100	60	99.74327757781070
	1238	60	100	60	99.82058047493400
	1239	60	100	60	99.79408115314550
	1240	60	100	60	99.81185573840000
80					
probability-of-spread:					Average:
0					0.0865272716327107
	41	60	0	80	0.09029345372460500
	42	60	0	80	0.07393129670213610
	43	60	0	80	0.08711721224920800
	44	60	0	80	0.08173596646188730
	45	60	0	80	0.10300837273183500
	46	60	0	80	0.07422724139759290
	47	60	0	80	0.09532131225673210
	48	60	0	80	0.08198455516767160
	49	60	0	80	0.07944494465335520
	50	60	0	80	0.0982083609820836
5					0.0920009176759435
	101	60	5	80	0.11037527593819000
	102	60	5	80	0.08991854437744630
	103	60	5	80	0.11874290840963700
	104	60	5	80	0.0844527724261698
	105	60	5	80	0.10876485568760600
	106	60	5	80	0.09231174996703150
	107	60	5	80	0.0688997244011024
	108	60	5	80	0.07966223213574440
	109	60	5	80	0.09533898305084750
	110	60	5	80	0.07154213036565980
10					0.134185187124057
	161	60	10	80	0.13147515119642400
	162	60	10	80	0.12256208035809400
	163	60	10	80	0.14825404389378700
	164	60	10	80	0.10251287982336200
	165	60	10	80	0.1161624161782570
	166	60	10	80	0.15649867374005300
	167	60	10	80	0.14790945828160900
	168	60	10	80	0.17860475035321100
	169	60	10	80	0.09261954537034590
	170	60	10	80	0.14525287204542500
15					0.193738605488707
	221	60	15	80	0.17827209110502100
	222	60	15	80	0.17251446467434600
	223	60	15	80	0.11397672754260900
	224	60	15	80	0.2777851265906510
	225	60	15	80	0.22777836635236800
	226	60	15	80	0.1773988561745390
	227	60	15	80	0.1855287569573280
	228	60	15	80	0.19363395225464200
	229	60	15	80	0.2193388123992500
	230	60	15	80	0.19115890083632000
20					0.38029513677717
	281	60	20	80	0.30275108595498200
	282	60	20	80	0.47533537551494700
	283	60	20	80	0.3095319982010110
	284	60	20	80	0.36534032245254500
	285	60	20	80	0.5359085241291490
	286	60	20	80	0.1914486279515000
	287	60	20	80	0.2011646373742720
	288	60	20	80	0.6235406495436210
	289	60	20	80	0.2829041298715030
	290	60	20	80	0.5150260167781670
25					0.826219666574817
	341	60	25	80	0.5223247428147210
	342	60	25	80	1.9091053720103900
	343	60	25	80	0.46789500118956400
	344	60	25	80	1.2997627208014800
	345	60	25	80	0.4111187735398650
	346	60	25	80	0.6494367130550030
	347	60	25	80	0.7900946522788130
	348	60	25	80	0.6666137608126340
	349	60	25	80	0.6792154797946560
	350	60	25	80	0.866629449451046
30					2.56935025342061
	401	60	30	80	1.6382995671915200
	402	60	30	80	3.6782154722354100
	403	60	30	80	1.150760135135140
	404	60	30	80	2.1122831256476300
	405	60	30	80	2.2090104373100800
	406	60	30	80	1.80808506158543
	407	60	30	80	1.995500860129680
	408	60	30	80	1.3426890711968100
	409	60	30	80	6.383487408351930
	410	60	30	80	3.3751713954224200
35					33.0107382056632
	461	60	35	80	26.000105274239400
	462	60	35	80	53.37900388816890
	463	60	35	80	28.463763500782800
	464	60	35	80	25.012584448271300
	465	60	35	80	50.2796833773087
	466	60	35	80	32.56447559846580
	467	60	35	80	19.980970504281600
	468	60	35	80	38.506834910620400
	469	60	35	80	44.75392391593510
	470	60	35	80	11.16603663855770
40					86.8955466968385
	521	60	40	80	89.38446869371760
	522	60	40	80	87.6265705349096
	523	60	40	80	85.02968504565910
	524	60	40	80	82.81884538818850
	525	60	40	80	86.64366423473020
	526	60	40	80	88.08254422959600
	527	60	40	80	88.48029524186110
	528	60	40	80	85.0188358890009
	529	60	40	80	88.77934024106580
	530	60	40	80	87.09121746965600
45					93.803886957177
	581	60	45	80	93.89847396297660
	582	60	45	80	94.14605822270320
	583	60	45	80	93.94787568324050
	584	60	45	80	92.66744259866680
	585	60	45	80	94.3712986463621
	586	60	45	80	93.44432605221100
	587	60	45	80	93.55798873179550
	588	60	45	80	93.86402206194320
	589	60	45	80	94.1764565488345
	590	60	45	80	93.9649270630365
50					96.37646451988340
	641	60	50	80	95.99788387779390
	642	60	50	80	96.38464800678540
	643	60	50	80	96.07900163925760
	644	60	50	80	96.37995868862880
	645	60	50	80	95.81137970293100
	646	60	50	80	96.40251771088460
	647	60	50	80	96.89017951425560
	648	60	50	80	96.19687392557720
	649	60	50	80	96.51677941371530
	650	60	50	80	97.10542271900460
55					97.89343450058830
	701	60	55	80	97.93541556379040
	702	60	55	80	97.67791249341060
	703	60	55	80	97.84281069077640
	704	60	55	80	98.03274324504190
	705	60	55	80	98.15664556962030
	706	60	55	80	97.99413303734240
	707	60	55	80	98.00190043815660
	708	60	55	80	97.91583909324430
	709	60	55	80	97.55801046566940
	710	60	55	80	97.81893440883040
60					98.52239758377
	761	60	60	80	98.3655433104403
	762	60	60	80	98.57078580313900
	763	60	60	80	98.60298030867480
	764	60	60	80	98.65991347472830
	765	60	60	80	98.46451168824290
	766	60	60	80	98.60339628630380
	767	60	60	80	98.45225811572350
	768	60	60	80	98.48468793048640
	769	60	60	80	98.49317590133330
	770	60	60	80	98.52672301862800
65					99.04484607278820
	821	60	65	80	99.05422446406050
	822	60	65	80	98.98643298316000
	823	60	65	80	99.05815122493250
	824	60	65	80	99.08852441641720
	825	60	65	80	99.06487434248980
	826	60	65	80	98.97131343125300
	827	60	65	80	98.95838855022530
	828	60	65	80	99.12134884825460
	829	60	65	80	99.13391423381680
	830	60	65	80	99.01128823327250
70					99.31405705964000
	881	60	70	80	99.35904255319150
	882	60	70	80	99.34393270019310
	883	60	70	80	99.27455945974470
	884	60	70	80	99.39438817337950
	885	60	70	80	99.36748893105630
	886	60	70	80	99.31470743278860
	887	60	70	80	99.27220569485760
	888	60	70	80	99.22322375397670
	889	60	70	80	99.24709651581900
	890	60	70	80	99.34392538139280
75					99.49926553778900
	941	60	75	80	99.47346027018400
	942	60	75	80	99.53430856661760
	943	60	75	80	99.50954259515940
	944	60	75	80	99.58403538331930
	945	60	75	80	99.46460908589870
	946	60	75	80	99.33036895876340
	947	60	75	80	99.43058997205670
	948	60	75	80	99.55776818579030
	949	60	75	80	99.59328121698710
	950	60	75	80	99.51469114311340
80					99.6412063772248
	1001	60	80	80	99.66456247853990
	1002	60	80	80	99.69432659622130
	1003	60	80	80	99.6898526137207
	1004	60	80	80	99.60779117530140
	1005	60	80	80	99.65559264557830
	1006	60	80	80	99.64916908467420
	1007	60	80	80	99.49699520821750
	1008	60	80	80	99.66520799282970
	1009	60	80	80	99.67774314543820
	1010	60	80	80	99.6108228317272
85					99.7166622972853
	1061	60	85	80	99.67713763992910
	1062	60	85	80	99.62087304512660
	1063	60	85	80	99.72165327451290
	1064	60	85	80	99.7565171364298
	1065	60	85	80	99.71521991351120
	1066	60	85	80	99.80478024587140
	1067	60	85	80	99.72533276991340
	1068	60	85	80	99.69830095802680
	1069	60	85	80	99.7301016088061
	1070	60	85	80	99.71670638072540
90					99.75287284191
	1121	60	90	80	99.74469443114730
	1122	60	90	80	99.71948766804280
	1123	60	90	80	99.8258667088808
	1124	60	90	80	99.6934622905766
	1125	60	90	80	99.75427378656170
	1126	60	90	80	99.78048715982120
	1127	60	90	80	99.7256443400955
	1128	60	90	80	99.73940328670960
	1129	60	90	80	99.74884335756780
	1130	60	90	80	99.79656538969620
95					99.7784171923122
	1181	60	95	80	99.78528257872970
	1182	60	95	80	99.77937853858220
	1183	60	95	80	99.7161125998249
	1184	60	95	80	99.80684253697770
	1185	60	95	80	99.75887013434380
	1186	60	95	80	99.80501686340640
	1187	60	95	80	99.77988171957460
	1188	60	95	80	99.798574116774
	1189	60	95	80	99.73188925167900
	1190	60	95	80	99.82232358322950
100					99.8153725891169
	1241	60	100	80	99.81373566429850
	1242	60	100	80	99.85646314558360
	1243	60	100	80	99.81791793112550
	1244	60	100	80	99.80173940627560
	1245	60	100	80	99.82225759384530
	1246	60	100	80	99.8174892874147
	1247	60	100	80	99.76094347641310
	1248	60	100	80	99.8491864003175
	1249	60	100	80	99.80910464777160
	1250	60	100	80	99.80488833812320
100					
probability-of-spread:					Average:
0					0
	51	60	0	100	0
	52	60	0	100	0
	53	60	0	100	0
	54	60	0	100	0
	55	60	0	100	0
	56	60	0	100	0
	57	60	0	100	0
	58	60	0	100	0
	59	60	0	100	0
	60	60	0	100	0
5					0
	111	60	5	100	0
	112	60	5	100	0
	113	60	5	100	0
	114	60	5	100	0
	115	60	5	100	0
	116	60	5	100	0
	117	60	5	100	0
	118	60	5	100	0
	119	60	5	100	0
	120	60	5	100	0
10					0
	171	60	10	100	0
	172	60	10	100	0
	173	60	10	100	0
	174	60	10	100	0
	175	60	10	100	0
	176	60	10	100	0
	177	60	10	100	0
	178	60	10	100	0
	179	60	10	100	0
	180	60	10	100	0
15					0
	231	60	15	100	0
	232	60	15	100	0
	233	60	15	100	0
	234	60	15	100	0
	235	60	15	100	0
	236	60	15	100	0
	237	60	15	100	0
	238	60	15	100	0
	239	60	15	100	0
	240	60	15	100	0
20					0
	291	60	20	100	0
	292	60	20	100	0
	293	60	20	100	0
	294	60	20	100	0
	295	60	20	100	0
	296	60	20	100	0
	297	60	20	100	0
	298	60	20	100	0
	299	60	20	100	0
	300	60	20	100	0
25					0
	351	60	25	100	0
	352	60	25	100	0
	353	60	25	100	0
	354	60	25	100	0
	355	60	25	100	0
	356	60	25	100	0
	357	60	25	100	0
	358	60	25	100	0
	359	60	25	100	0
	360	60	25	100	0
30					0
	411	60	30	100	0
	412	60	30	100	0
	413	60	30	100	0
	414	60	30	100	0
	415	60	30	100	0
	416	60	30	100	0
	417	60	30	100	0
	418	60	30	100	0
	419	60	30	100	0
	420	60	30	100	0
35					0
	471	60	35	100	0
	472	60	35	100	0
	473	60	35	100	0
	474	60	35	100	0
	475	60	35	100	0
	476	60	35	100	0
	477	60	35	100	0
	478	60	35	100	0
	479	60	35	100	0
	480	60	35	100	0
40					0
	531	60	40	100	0
	532	60	40	100	0
	533	60	40	100	0
	534	60	40	100	0
	535	60	40	100	0
	536	60	40	100	0
	537	60	40	100	0
	538	60	40	100	0
	539	60	40	100	0
	540	60	40	100	0
45					0
	591	60	45	100	0
	592	60	45	100	0
	593	60	45	100	0
	594	60	45	100	0
	595	60	45	100	0
	596	60	45	100	0
	597	60	45	100	0
	598	60	45	100	0
	599	60	45	100	0
	600	60	45	100	0
50					0
	651	60	50	100	0
	652	60	50	100	0
	653	60	50	100	0
	654	60	50	100	0
	655	60	50	100	0
	656	60	50	100	0
	657	60	50	100	0
	658	60	50	100	0
	659	60	50	100	0
	660	60	50	100	0
55					0
	711	60	55	100	0
	712	60	55	100	0
	713	60	55	100	0
	714	60	55	100	0
	715	60	55	100	0
	716	60	55	100	0
	717	60	55	100	0
	718	60	55	100	0
	719	60	55	100	0
	720	60	55	100	0
60					0
	771	60	60	100	0
	772	60	60	100	0
	773	60	60	100	0
	774	60	60	100	0
	775	60	60	100	0
	776	60	60	100	0
	777	60	60	100	0
	778	60	60	100	0
	779	60	60	100	0
	780	60	60	100	0
65					0
	831	60	65	100	0
	832	60	65	100	0
	833	60	65	100	0
	834	60	65	100	0
	835	60	65	100	0
	836	60	65	100	0
	837	60	65	100	0
	838	60	65	100	0
	839	60	65	100	0
	840	60	65	100	0
70					0
	891	60	70	100	0
	892	60	70	100	0
	893	60	70	100	0
	894	60	70	100	0
	895	60	70	100	0
	896	60	70	100	0
	897	60	70	100	0
	898	60	70	100	0
	899	60	70	100	0
	900	60	70	100	0
75					0
	951	60	75	100	0
	952	60	75	100	0
	953	60	75	100	0
	954	60	75	100	0
	955	60	75	100	0
	956	60	75	100	0
	957	60	75	100	0
	958	60	75	100	0
	959	60	75	100	0
	960	60	75	100	0
80					0
	1011	60	80	100	0
	1012	60	80	100	0
	1013	60	80	100	0
	1014	60	80	100	0
	1015	60	80	100	0
	1016	60	80	100	0
	1017	60	80	100	0
	1018	60	80	100	0
	1019	60	80	100	0
	1020	60	80	100	0
85					0
	1071	60	85	100	0
	1072	60	85	100	0
	1073	60	85	100	0
	1074	60	85	100	0
	1075	60	85	100	0
	1076	60	85	100	0
	1077	60	85	100	0
	1078	60	85	100	0
	1079	60	85	100	0
	1080	60	85	100	0
90					0
	1131	60	90	100	0
	1132	60	90	100	0
	1133	60	90	100	0
	1134	60	90	100	0
	1135	60	90	100	0
	1136	60	90	100	0
	1137	60	90	100	0
	1138	60	90	100	0
	1139	60	90	100	0
	1140	60	90	100	0
95					0
	1191	60	95	100	0
	1192	60	95	100	0
	1193	60	95	100	0
	1194	60	95	100	0
	1195	60	95	100	0
	1196	60	95	100	0
	1197	60	95	100	0
	1198	60	95	100	0
	1199	60	95	100	0
	1200	60	95	100	0
100					0
	1251	60	100	100	0
	1252	60	100	100	0
	1253	60	100	100	0
	1254	60	100	100	0
	1255	60	100	100	0
	1256	60	100	100	0
	1257	60	100	100	0
	1258	60	100	100	0
	1259	60	100	100	0
	1260	60	100	100	0