	[run number]	density	probability-of-spread	west-wind-speed	percentage burned
50					
west-wind-speed:					Average:
-25					3.69980393354532
	1	50	60	-25	2.7127082402502100
	2	50	60	-25	2.13878022189444
	3	50	60	-25	4.399974749068870
	4	50	60	-25	4.516823346943940
	5	50	60	-25	6.832494699199340
	6	50	60	-25	3.235957913474680
	7	50	60	-25	3.386865956431870
	8	50	60	-25	2.6985400288785500
	9	50	60	-25	2.5671906693712000
	10	50	60	-25	4.508703509940070
0					4.37399601944565
	11	50	60	0	6.346336822074220
	12	50	60	0	3.387715930902110
	13	50	60	0	5.107835630423690
	14	50	60	0	4.536056239463050
	15	50	60	0	4.518358805250810
	16	50	60	0	2.8038877166059200
	17	50	60	0	6.46243433128679
	18	50	60	0	1.8087690144445900
	19	50	60	0	4.645281085926500
	20	50	60	0	4.123284618078770
25					8.6679460276123
	21	50	60	25	8.938281026423730
	22	50	60	25	7.328799620433340
	23	50	60	25	6.8714941356450800
	24	50	60	25	9.500047980040300
	25	50	60	25	9.315662036447050
	26	50	60	25	12.413574373612400
	27	50	60	25	4.117815270231630
	28	50	60	25	11.071733696168100
	29	50	60	25	7.996285265955740
	30	50	60	25	9.125766871165650
55					
west-wind-speed:					Average:
-25					14.9688199220655
	31	55	60	-25	12.217495731689700
	32	55	60	-25	25.295604427529700
	33	55	60	-25	11.689584594540100
	34	55	60	-25	17.66406475860080
	35	55	60	-25	15.245863970588200
	36	55	60	-25	18.765446457127900
	37	55	60	-25	11.817631282983000
	38	55	60	-25	11.271525482692600
	39	55	60	-25	12.960723335637000
	40	55	60	-25	12.76025917926570
0					35.0201843814617
	41	55	60	0	59.424356378362700
	42	55	60	0	25.498398776723100
	43	55	60	0	55.95207383839250
	44	55	60	0	16.671030049160800
	45	55	60	0	27.393455429216200
	46	55	60	0	34.52201184806600
	47	55	60	0	13.26253823512440
	48	55	60	0	28.863800839484700
	49	55	60	0	45.86026200873360
	50	55	60	0	42.75391641135330
25					51.5169426479459
	51	55	60	25	53.43009444347880
	52	55	60	25	53.46305973381070
	53	55	60	25	48.37031900138700
	54	55	60	25	50.65844451488340
	55	55	60	25	59.13626080399100
	56	55	60	25	37.954532273966200
	57	55	60	25	59.28460521019040
	58	55	60	25	56.82780065067800
	59	55	60	25	45.22582513028370
	60	55	60	25	50.818484716789800